"","undernourishment","child_wasting","child_stunting","child_mortality"
"Afghanistan",29.8,8.1,43.6,6.8
"Albania",6.2,1.6,11.3,0.9
"Algeria",3.9,5,15.3,2.4
"Angola",25,4.9,37.6,8.1
"Argentina",4.6,1.5,7.3,1
"Armenia",4.3,4.5,9.4,1.3
"Azerbaijan",2.5,3.6,11.3,2.3
"Bahrain",NA,2,2.3,0.7
"Bangladesh",14.7,14.4,36.2,3.2
"Belarus",2.5,1.7,2.8,0.4
"Benin",10.1,5,32.2,9.8
"Bhutan",NA,4.4,26.5,3.1
"Bolivia",17.1,2,16.1,3.5
"Bosnia & Herzegovina",2.5,2.8,8.5,0.6
"Botswana",26.4,5.7,24.3,3.8
"Brazil",2.5,2.1,8,1.5
"Bulgaria",3.6,2.5,5.3,0.8
"Burkina Faso",20,8.6,21.1,8.1
"Burundi",NA,5.1,55.9,6.1
"Cambodia",16.4,9.8,32.4,2.9
"Cameroon",9.9,5.2,31.7,8.4
"Central African Republic",59.6,10.6,47.4,12.2
"Chad",37.5,13.3,39.8,12.3
"Chile",2.7,0.3,1.8,0.7
"China",8.5,1.6,5.2,0.9
"Colombia",4.8,1,11.6,1.5
"Comoros",NA,9.2,39.9,6.9
"Congo, Dem. Rep.",NA,8.1,42.7,9.1
"Congo, Rep.",40.3,8.2,21.2,4.8
"Costa Rica",4.8,1.3,4.8,0.9
"Côte d'Ivoire",19,6.1,21.6,8.9
"Croatia",2.5,1.1,0.9,0.5
"Cuba",2.5,2,4.7,0.5
"Djibouti",18.9,18.4,28.9,6.2
"Dominican Republic",9.5,1.5,6.4,3
"Ecuador",7.9,1.6,23.9,1.5
"Egypt",4.5,9.5,22.3,2.2
"El Salvador",9,2.1,13.6,1.5
"Equatorial Guinea",NA,3.7,29.5,9
"Eritrea",NA,NA,NA,4.3
"Estonia",2.9,2.4,3.4,0.3
"Eswatini",20.6,2,25.5,5.4
"Ethiopia",20.6,10,38.4,5.9
"Fiji",3.7,7.1,4.4,2.5
"Gabon",10.5,3.6,20.2,4.8
"Gambia",10.2,9.4,26,6.4
"Georgia",7.9,4.3,10.5,1.1
"Ghana",5.5,4.7,18.8,4.9
"Guatemala",15.2,0.8,46.7,2.8
"Guinea",16.5,9.2,30.3,8.6
"Guinea-Bissau",28,6,27.6,8.4
"Guyana",8.1,6.4,11.3,3.1
"Haiti",49.3,3.7,21.9,7.2
"Honduras",12.9,1.5,21.1,1.8
"India",14.5,20.8,37.9,3.9
"Indonesia",8.3,11.7,32.7,2.5
"Iran",4.9,4.9,7.2,1.5
"Iraq",29,2.5,9.9,3
"Jamaica",8,3.6,6,1.5
"Jordan",12.2,2.4,10.3,1.7
"Kazakhstan",2.5,3.1,8,1
"Kenya",29.4,4.2,26.2,4.6
"Kuwait",2.8,3.1,4.9,0.8
"Kyrgyz Republic",7.1,2,11.8,2
"Lao PDR",16.5,9,33,6.3
"Latvia",2.5,2.6,4,0.4
"Lebanon",11,4.7,15.3,0.8
"Lesotho",13.1,2.8,33.4,8.6
"Liberia",37.2,5.4,39,7.5
"Libya",NA,8,22.4,1.2
"Lithuania",2.5,2.7,5.2,0.4
