"","Pillar 1: Health (0–100 best)","Pillar 2: Education Access (0–100 best)","Pillar 3: Education Quality and Equity (0–100 best)","Pillar 4: Lifelong Learning (0–100 best)","Pillar 5: Technology Access (0–100 best)","Pillar 6: Work Opportunities (0–100 best)","Pillar 7: Fair Wage Distribution (0–100 best)","Pillar 8: Working Conditions (0–100 best)","Pillar 9: Social Resilience (0–100 best)","Pillar 10: Inclusive Institutions (0–100 best)"
"Albania","78.861102546705069","49.826105325","57.095041316084874","50.324155956666665","70.322756796666667","32.476430893975362","45.633427830942338","68.078641939999997","42.151390999291337","61.342866676771422"
"Argentina","61.39932384893352","69.176428080699864","38.374234234768842","46.055628986666662","70.783877558888889","64.766633956280742","47.014861477543015","56.568268813333326","59.602685100000002","59.696192150685512"
"Armenia","77.254878814745041","36.825824006666664","79.354934377790173","43.602898903333333","67.340954359722218","42.759160251656112","44.492452039727446","54.682890420833324","39.848400816666661","53.048349182663664"
"Australia","87.417843125691604","75.551249489744464","82.117210859089383","67.764808733333339","88.688767443333347","78.258283535443667","50.342969752911614","66.718025096666665","72.717460958333334","81.654252556451354"
"Austria","89.383702342151423","85.279535814195967","85.407602405366447","73.174174629166657","79.965410020833332","79.176592346570644","61.122006676486009","80.468771308333331","87.028362179166663","80.17841170442378"
"Bangladesh","45.746729638828057","32.749012405582668","29.17629971313476","37.25064167","45.519682260600632","55.319440363798634","55.900342062971461","40.105064349999999","20.923642991111109","39.57256450008903"
"Belgium","90.407020895855339","80.552362304313149","77.259645492987019","67.965408162499998","81.732950896666665","75.073140743672909","88.410878976452096","78.884685936666671","84.131999970833334","76.500957537919888"
"Brazil","62.01501493168864","54.217137129173203","42.211868545111308","37.853264808333329","67.829277119444441","55.917436495235599","35.916954989667744","60.646119983333335","59.163046724444435","45.394504789593029"
"Bulgaria","71.20016009401661","55.782744608764666","70.91053966794631","52.901186516666669","77.059453228888884","71.242038318325754","61.224909925397711","57.614530449999997","60.877203891666667","59.381662207362744"
"Cameroon","36.366069176086938","40.931575408320327","33.560881642252603","39.907661623333333","30.9165443611341","58.193628211034351","9.2047619047619058","51.66688108333333","17.564079377180899","42.173751829785367"
