ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
51,VIRGINIA,VA,51001,Accomack,51001090100,"Census Tract 901, Accomack County, Virginia",7.158471621128,2899,14,4491,180,1523,135,260,129,84,59,36089,6041,383,142,974,127,330,81,562,142,44,39,242,162,72,95,96,78,790,184,0,17,109,56,29,31,9.1,4.5,6.9,4.5,36089.0,6041.0,15.5,5.7,33.6,4.4,11.4,2.8,19.6,5.0,2.9,2.6,8.3,5.6,2.5,3.3,2.1,1.7,17.6,4.0,0.0,1.1,7.2,3.6,1.0,1.1,0.5035,0.7561,0.4325,0.7339,2.426,0.6453,0.9846,0.0633,0.8789,0.1288,2.0556,0.5213,0.0969,0.7094,0.8063,0.388,0.4125,0.8917,0.0,0.6829,0.7515,2.7386,0.7064,8.0265,0.6463,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,254,105,8.9,3.7,2649
51,VIRGINIA,VA,51001,Accomack,51001090200,"Census Tract 902, Accomack County, Virginia",72.511161782648,5960,654,4307,211,2563,286,795,385,41,43,22772,2328,792,208,1432,224,1107,312,894,231,109,92,1954,846,56,101,0,24,1125,247,51,71,158,127,109,47,13.4,6.3,1.5,1.6,22772.0,2328.0,17.4,4.4,24.0,3.7,18.6,4.8,15.1,4.2,4.3,3.6,32.8,13.7,1.0,1.8,0.0,0.6,26.1,5.5,2.0,2.8,6.2,4.8,1.8,0.8,0.6695,0.0688,0.8165,0.7999,2.3547,0.6265,0.8973,0.2602,0.7182,0.2501,2.1258,0.5731,0.4795,0.5077,0.9872,0.5136,0.0,0.9504,0.6615,0.6391,0.802,3.053,0.8099,8.5207,0.7228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,672,313,11.3,4.9,5856
51,VIRGINIA,VA,51001,Accomack,51001090300,"Census Tract 903, Accomack County, Virginia",49.588113841156,2527,327,1340,87,1021,109,569,170,116,71,23832,3951,413,120,454,86,473,154,392,105,124,68,743,431,30,46,0,17,226,87,14,14,34,17,28,15,22.6,6.5,9.6,5.0,23832.0,3951.0,22.6,5.4,18.0,3.7,18.7,5.6,15.5,4.3,12.1,6.5,29.4,16.7,1.2,1.9,0.0,1.3,16.9,6.1,1.4,1.4,3.3,1.7,1.1,0.6,0.8751,0.8938,0.7899,0.9058,3.4646,0.9272,0.6652,0.2656,0.7369,0.7999,2.4676,0.7759,0.4236,0.5428,0.9664,0.4949,0.0,0.8858,0.5652,0.4132,0.7632,2.6274,0.6562,9.526,0.8529,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,600,200,23.7,6.6,860
51,VIRGINIA,VA,51001,Accomack,51001090400,"Census Tract 904, Accomack County, Virginia",74.793244294686,6332,810,2786,174,2121,221,1791,697,79,108,21010,3868,978,287,934,197,1786,429,542,180,319,159,4224,898,720,307,123,47,712,200,118,87,341,152,579,337,29.2,10.0,2.9,3.8,21010.0,3868.0,24.6,6.7,14.8,3.3,28.2,5.7,8.8,2.8,15.0,7.4,66.7,11.3,12.8,5.2,4.4,1.7,25.6,7.0,5.6,4.1,16.1,7.1,9.1,5.2,0.9349,0.246,0.8624,0.9313,2.9746,0.7988,0.4944,0.8845,0.326,0.8856,2.5905,0.834,0.86,0.9638,1.8238,0.9601,0.5082,0.9466,0.9186,0.9082,0.9276,4.2092,0.9979,11.5981,0.9872,1,0,0,1,2,0,0,0,0,0,0,1,1,0,1,1,1,1,4,7,1592,463,26.0,7.0,7657
51,VIRGINIA,VA,51001,Accomack,51001090500,"Census Tract 905, Accomack County, Virginia",25.4596817106,2310,278,1371,77,1015,102,567,244,14,44,23334,3810,432,162,453,126,466,157,258,92,111,54,1047,326,198,112,0,17,158,59,6,17,129,71,24,13,24.5,9.7,1.3,3.8,23334.0,3810.0,24.7,7.8,19.6,5.9,20.2,6.3,11.2,3.9,10.9,5.3,45.3,13.0,8.7,4.8,0.0,1.2,11.5,4.4,0.6,1.7,12.7,6.6,1.0,0.5,0.8959,0.0528,0.8016,0.9324,2.6827,0.7212,0.7499,0.3848,0.4867,0.7536,2.375,0.7263,0.6578,0.9303,1.5881,0.8558,0.0,0.8266,0.3507,0.8628,0.7515,2.7916,0.7229,9.4374,0.8411,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,432,147,18.7,5.5,1764
51,VIRGINIA,VA,51001,Accomack,51001090600,"Census Tract 906, Accomack County, Virginia",49.3109783198,3693,331,2489,137,1875,169,598,215,92,51,30944,4119,401,127,1256,155,514,122,512,126,157,80,825,429,55,80,138,70,133,88,0,17,243,67,38,51,16.3,5.7,5.6,3.0,30944.0,4119.0,13.0,3.6,34.0,3.9,13.9,3.1,14.0,3.5,8.4,4.2,22.3,11.4,1.5,2.2,5.5,2.8,5.3,3.5,0.0,0.9,13.0,3.3,1.0,1.4,0.7459,0.6291,0.568,0.645,2.588,0.694,0.9856,0.091,0.6633,0.6067,2.3466,0.706,0.3156,0.5971,0.9127,0.4534,0.5428,0.7449,0.0,0.8724,0.7515,2.9116,0.7656,8.7589,0.7491,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,440,172,12.0,4.4,2232
51,VIRGINIA,VA,51001,Accomack,51001090700,"Census Tract 907, Accomack County, Virginia",60.47352497905,5412,571,2595,156,1935,197,707,350,119,86,22981,3049,440,170,935,169,1534,378,605,162,184,103,2279,740,99,91,0,24,342,166,9,22,159,101,10,6,13.1,6.6,4.9,3.5,22981.0,3049.0,12.5,4.8,17.3,3.5,28.3,6.3,11.2,3.2,9.5,5.3,42.1,12.9,1.9,1.8,0.0,0.9,13.2,6.2,0.5,1.1,8.2,5.1,0.2,0.1,0.6615,0.5459,0.8123,0.6237,2.6434,0.7095,0.6307,0.8898,0.4867,0.678,2.6852,0.8778,0.6158,0.6493,1.2651,0.6801,0.0,0.8458,0.3209,0.7272,0.5636,2.4575,0.5868,9.0512,0.7881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,216,13.5,3.8,5421
51,VIRGINIA,VA,51001,Accomack,51001090800,"Census Tract 908, Accomack County, Virginia",80.766760769672,3609,499,1872,88,1348,123,1151,416,60,62,19753,3675,580,143,733,139,671,229,555,147,122,60,1737,566,67,95,0,17,373,109,5,15,179,90,296,319,32.1,8.5,4.3,4.5,19753.0,3675.0,24.0,5.3,20.3,4.4,18.6,5.8,15.4,4.5,9.1,4.4,48.1,14.2,2.0,2.8,0.0,0.9,19.9,5.8,0.4,1.1,13.3,6.4,8.2,8.8,0.953,0.4557,0.8981,0.9228,3.2296,0.8743,0.7749,0.2602,0.7337,0.6546,2.4234,0.7481,0.6876,0.661,1.3486,0.7318,0.0,0.9104,0.3007,0.8777,0.9234,3.0122,0.7928,10.0138,0.9042,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,4,721,229,20.0,6.1,2684
51,VIRGINIA,VA,51001,Accomack,51001980100,"Census Tract 9801, Accomack County, Virginia",12.15746973693,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,29
51,VIRGINIA,VA,51001,Accomack,51001980200,"Census Tract 9802, Accomack County, Virginia",17.089876840792,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,1037
