ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
51,VIRGINIA,VA,Powhatan,51145,"Powhatan County, Virginia",260.2006934,28574,0,10724,109,10178,257,1383,421,333,121,35641,1634,2059,318,4980,105,5201,99,2931,375,454,157,4235,22,56,84,8,24,255,96,65,78,139,91,2697,276,5.3,1.6,2.4,0.9,35641.0,1634.0,9.8,1.5,17.4,0.4,18.2,0.3,11.3,1.4,4.5,1.5,14.8,0.1,0.2,0.3,0.1,0.2,2.4,0.9,0.6,0.8,1.4,0.9,9.4,1.0,0.053,0.0227,0.2121,0.2424,0.5302,0.0606,0.4015,0.2197,0.1894,0.0682,0.8788,0.0455,0.2955,0.1591,0.4546,0.2045,0.0152,0.3182,0.0985,0.0,0.8712,1.3031,0.053,3.1667,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1645,658,6.3,2.5,21416
51,VIRGINIA,VA,New Kent,51127,"New Kent County, Virginia",210.0356571,21103,0,8268,73,7754,235,992,329,497,169,36458,1622,1099,246,3433,62,4378,55,2051,365,391,163,4367,22,0,88,0,31,327,140,104,74,166,88,564,126,4.8,1.6,4.5,1.5,36458.0,1622.0,7.2,1.6,16.3,0.3,20.7,0.3,10.0,1.8,5.0,2.1,20.7,0.1,0.0,0.4,0.0,0.4,4.0,1.7,1.3,1.0,2.1,1.1,2.7,0.6,0.0379,0.3636,0.1818,0.0909,0.6742,0.1212,0.3333,0.5985,0.1136,0.1288,1.1742,0.0833,0.4015,0.0,0.4015,0.1667,0.0,0.3939,0.4167,0.0227,0.5909,1.4242,0.0909,3.6741,0.0076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,369,5.7,1.8,14384
51,VIRGINIA,VA,Hanover,51085,"Hanover County, Virginia",467.8854739,104449,0,40846,100,38599,446,5725,807,1694,267,39604,1012,4983,483,17287,82,23397,0,10162,577,2147,296,16569,94,503,163,1955,260,785,182,187,79,950,174,1814,239,5.6,0.8,3.0,0.5,39604.0,1012.0,6.9,0.7,16.6,0.1,22.4,0.0,9.8,0.6,5.6,0.8,15.9,0.1,0.5,0.2,4.8,0.6,1.9,0.4,0.5,0.2,2.5,0.5,1.7,0.2,0.0682,0.0833,0.1061,0.0758,0.3334,0.0227,0.3561,0.7576,0.0909,0.1894,1.394,0.1288,0.3182,0.3712,0.6894,0.3106,0.5758,0.2727,0.0833,0.0455,0.4242,1.4015,0.0833,3.8183,0.0152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5260,600,5.1,0.6,97661
51,VIRGINIA,VA,Poquoson City,51735,"Poquoson city, Virginia",15.3812794,12039,0,4785,35,4615,86,536,235,318,165,40277,1664,336,104,2268,65,2661,67,1528,257,330,139,973,19,44,87,109,78,40,37,0,26,187,92,52,77,4.5,2.0,5.3,2.7,40277.0,1664.0,4.0,1.2,18.8,0.5,22.1,0.6,13.0,2.2,7.2,3.0,8.1,0.2,0.4,0.8,2.3,1.6,0.8,0.8,0.0,0.6,4.1,2.0,0.4,0.6,0.0152,0.4924,0.0833,0.0076,0.5985,0.0833,0.4697,0.7348,0.3106,0.4167,1.9318,0.4848,0.1364,0.3258,0.4622,0.2121,0.3561,0.1364,0.0,0.2348,0.0985,0.8258,0.0,3.8183,0.0152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,152,3.0,1.3,7316
51,VIRGINIA,VA,Mathews,51115,"Mathews County, Virginia",85.9072977,8796,0,5745,40,3908,279,942,452,106,70,39119,4970,643,190,2621,85,1335,110,1368,328,98,82,1262,17,0,68,31,53,526,160,19,36,107,69,124,81,10.8,5.2,2.7,1.8,39119.0,4970.0,9.4,2.9,29.8,1.0,15.2,1.3,15.7,3.7,2.5,2.1,14.3,0.2,0.0,0.8,0.5,0.9,9.2,2.8,0.5,0.9,2.7,1.8,1.4,0.9,0.3788,0.0455,0.1212,0.2273,0.7728,0.1364,0.9697,0.0379,0.6364,0.0,1.644,0.2121,0.2803,0.0,0.2803,0.0909,0.0758,0.5379,0.0833,0.0758,0.3485,1.1213,0.0227,3.8184,0.0303,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,870,292,10.0,3.3,6277
51,VIRGINIA,VA,King George,51099,"King George County, Virginia",179.5848785,25890,0,9997,44,9103,208,1452,478,536,148,37316,1829,1109,204,3221,41,6616,36,2654,348,638,182,6821,45,80,91,120,81,656,148,53,52,332,145,213,94,5.7,1.9,4.0,1.1,37316.0,1829.0,6.5,1.2,12.4,0.2,25.6,0.1,10.5,1.4,7.0,2.0,26.3,0.2,0.3,0.4,1.2,0.8,6.6,1.5,0.6,0.6,3.6,1.6,0.8,0.4,0.0758,0.2576,0.1515,0.053,0.5379,0.0682,0.1061,0.947,0.1288,0.3636,1.5455,0.1591,0.5076,0.2424,0.75,0.3712,0.1818,0.4773,0.0985,0.1742,0.2045,1.1363,0.0303,3.9697,0.0379,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1412,379,5.6,1.5,23966
51,VIRGINIA,VA,Rappahannock,51157,"Rappahannock County, Virginia",266.3721266,7332,0,3955,35,2976,214,650,187,142,63,37733,2945,609,145,1877,27,1310,66,1124,176,156,64,800,17,32,71,2,17,57,52,40,43,89,56,17,11,8.9,2.6,3.9,1.7,37733.0,2945.0,11.0,2.6,25.6,0.4,17.9,0.9,15.3,2.4,5.2,2.1,10.9,0.2,0.5,1.0,0.1,0.4,1.4,1.3,1.3,1.5,3.0,1.9,0.2,0.2,0.25,0.2273,0.1439,0.3333,0.9545,0.2045,0.9545,0.1818,0.5758,0.1515,1.8636,0.4242,0.197,0.3712,0.5682,0.2273,0.0152,0.2424,0.4167,0.1061,0.0455,0.8259,0.0076,4.2122,0.0455,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,974,200,13.3,2.7,5095
51,VIRGINIA,VA,Goochland,51075,"Goochland County, Virginia",280.6305221,22482,0,9177,101,8426,219,1136,338,358,135,47806,3411,1535,251,4686,67,4146,0,2680,394,346,135,5024,27,75,111,247,115,375,115,96,54,159,59,1169,240,5.3,1.6,3.2,1.2,47806.0,3411.0,9.1,1.5,20.8,0.3,18.4,0.0,12.6,1.8,4.1,1.6,22.3,0.1,0.3,0.5,2.7,1.3,4.1,1.2,1.1,0.6,1.9,0.7,5.2,1.1,0.053,0.1061,0.0379,0.2045,0.4015,0.0379,0.6894,0.2348,0.2803,0.0379,1.2424,0.0909,0.4242,0.2424,0.6666,0.303,0.4015,0.4015,0.3258,0.0076,0.7727,1.9091,0.2045,4.2196,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973,251,4.6,1.2,27647
51,VIRGINIA,VA,Fauquier,51061,"Fauquier County, Virginia",648.0051886,69115,0,26635,79,24333,361,4177,759,1252,234,44724,1616,3698,350,10890,73,16319,21,6771,424,1676,272,13544,31,925,238,1034,216,346,99,193,70,614,153,375,148,6.1,1.1,3.4,0.6,44724.0,1616.0,7.8,0.7,15.8,0.1,23.6,0.0,9.9,0.6,6.9,1.1,19.6,0.0,1.4,0.4,3.9,0.8,1.3,0.4,0.8,0.3,2.5,0.6,0.5,0.2,0.0909,0.1288,0.053,0.1288,0.4015,0.0379,0.2955,0.8561,0.1061,0.3409,1.5986,0.1742,0.3864,0.7348,1.1212,0.5682,0.5152,0.2197,0.2045,0.0455,0.1136,1.0985,0.0152,4.2198,0.0606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5442,661,7.9,1.0,52693
51,VIRGINIA,VA,Gloucester,51073,"Gloucester County, Virginia",217.8070139,37161,0,16465,49,14759,286,3125,678,521,126,33295,1292,2938,435,6788,119,7486,7,6142,577,825,214,5605,38,19,95,227,106,1637,290,122,75,599,164,257,101,8.5,1.8,2.9,0.7,33295.0,1292.0,10.9,1.6,18.3,0.3,20.1,0.0,16.8,1.6,5.6,1.5,15.1,0.1,0.1,0.3,1.4,0.6,9.9,1.8,0.8,0.5,4.1,1.1,0.7,0.3,0.2121,0.0606,0.2803,0.3258,0.8788,0.1818,0.4167,0.5,0.6818,0.1894,1.7879,0.3333,0.303,0.0985,0.4015,0.1667,0.197,0.5758,0.2045,0.2348,0.1667,1.3788,0.0606,4.447,0.0682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3103,445,8.5,1.2,27675
